A,B
31567.4,4e+07
63134.8,4e+07
94702.1,3.99999e+07
126269,3.99998e+07
157837,3.99997e+07
189404,3.99996e+07
220971,3.99994e+07
252538,3.99992e+07
284104,3.9999e+07
315671,3.99988e+07
347237,3.99985e+07
378803,3.99982e+07
410369,3.99979e+07
441935,3.99976e+07
473500,3.99972e+07
505065,3.99968e+07
536630,3.99964e+07
568194,3.9996e+07
599758,3.99955e+07
631322,3.9995e+07
662885,3.99945e+07
694448,3.9994e+07
726010,3.99934e+07
757572,3.99928e+07
789134,3.99922e+07
820695,3.99916e+07
852255,3.99909e+07
883815,3.99902e+07
915375,3.99895e+07
946934,3.99888e+07
978492,3.9988e+07
1.01005e+06,3.99872e+07
1.04161e+06,3.99864e+07
1.07316e+06,3.99856e+07
1.10472e+06,3.99847e+07
1.13627e+06,3.99839e+07
1.16783e+06,3.99829e+07
1.19938e+06,3.9982e+07
1.23093e+06,3.99811e+07
1.26249e+06,3.99801e+07
1.29404e+06,3.99791e+07
1.32559e+06,3.9978e+07
1.35714e+06,3.9977e+07
1.38869e+06,3.99759e+07
1.42023e+06,3.99748e+07
1.45178e+06,3.99736e+07
1.48333e+06,3.99725e+07
1.51487e+06,3.99713e+07
1.54642e+06,3.99701e+07
1.57796e+06,3.99689e+07
1.6095e+06,3.99676e+07
1.64104e+06,3.99663e+07
1.67258e+06,3.9965e+07
1.70412e+06,3.99637e+07
1.73566e+06,3.99623e+07
1.7672e+06,3.99609e+07
1.79874e+06,3.99595e+07
1.83027e+06,3.99581e+07
1.8618e+06,3.99566e+07
1.89334e+06,3.99552e+07
1.92487e+06,3.99537e+07
1.9564e+06,3.99521e+07
1.98793e+06,3.99506e+07
2.01946e+06,3.9949e+07
2.05098e+06,3.99474e+07
2.08251e+06,3.99458e+07
2.11403e+06,3.99441e+07
2.14555e+06,3.99424e+07
2.17707e+06,3.99407e+07
2.20859e+06,3.9939e+07
2.24011e+06,3.99372e+07
2.27163e+06,3.99354e+07
2.30315e+06,3.99336e+07
2.33466e+06,3.99318e+07
2.36617e+06,3.993e+07
2.39768e+06,3.99281e+07
2.42919e+06,3.99262e+07
2.4607e+06,3.99242e+07
2.49221e+06,3.99223e+07
2.52372e+06,3.99203e+07
2.55522e+06,3.99183e+07
2.58672e+06,3.99163e+07
2.61822e+06,3.99142e+07
2.64972e+06,3.99121e+07
2.68122e+06,3.991e+07
2.71271e+06,3.99079e+07
2.74421e+06,3.99058e+07
2.7757e+06,3.99036e+07
2.80719e+06,3.99014e+07
2.83868e+06,3.98991e+07
2.87017e+06,3.98969e+07
2.90165e+06,3.98946e+07
2.93313e+06,3.98923e+07
2.96462e+06,3.989e+07
2.99609e+06,3.98876e+07
3.02757e+06,3.98853e+07
3.05905e+06,3.98829e+07
3.09052e+06,3.98804e+07
3.12199e+06,3.9878e+07
3.15346e+06,3.98755e+07
3.18493e+06,3.9873e+07
3.2164e+06,3.98705e+07
3.24786e+06,3.98679e+07
3.27933e+06,3.98653e+07
3.31079e+06,3.98627e+07
3.34224e+06,3.98601e+07
3.3737e+06,3.98575e+07
3.40515e+06,3.98548e+07
3.43661e+06,3.98521e+07
3.46805e+06,3.98494e+07
3.4995e+06,3.98466e+07
3.53095e+06,3.98439e+07
3.56239e+06,3.98411e+07
3.59383e+06,3.98382e+07
3.62527e+06,3.98354e+07
3.65671e+06,3.98325e+07
3.68814e+06,3.98296e+07
3.71957e+06,3.98267e+07
3.751e+06,3.98237e+07
3.78243e+06,3.98208e+07
3.81385e+06,3.98178e+07
3.84528e+06,3.98147e+07
3.8767e+06,3.98117e+07
3.90811e+06,3.98086e+07
3.93953e+06,3.98055e+07
3.97094e+06,3.98024e+07
4.00235e+06,3.97993e+07
4.03376e+06,3.97961e+07
4.06516e+06,3.97929e+07
4.09657e+06,3.97897e+07
4.12797e+06,3.97864e+07
4.15937e+06,3.97832e+07
4.19076e+06,3.97799e+07
4.22215e+06,3.97765e+07
4.25354e+06,3.97732e+07
4.28493e+06,3.97698e+07
4.31631e+06,3.97664e+07
4.3477e+06,3.9763e+07
4.37907e+06,3.97596e+07
4.41045e+06,3.97561e+07
4.44182e+06,3.97526e+07
4.4732e+06,3.97491e+07
4.50456e+06,3.97456e+07
4.53593e+06,3.9742e+07
4.56729e+06,3.97384e+07
4.59865e+06,3.97348e+07
4.63001e+06,3.97311e+07
4.66136e+06,3.97275e+07
4.69271e+06,3.97238e+07
4.72406e+06,3.97201e+07
4.7554e+06,3.97163e+07
4.78675e+06,3.97126e+07
4.81809e+06,3.97088e+07
4.84942e+06,3.9705e+07
4.88075e+06,3.97011e+07
4.91208e+06,3.96972e+07
4.94341e+06,3.96934e+07
4.97474e+06,3.96894e+07
5.00606e+06,3.96855e+07
5.03737e+06,3.96815e+07
5.06869e+06,3.96776e+07
5.1e+06,3.96735e+07
5.13131e+06,3.96695e+07
5.16261e+06,3.96654e+07
5.19391e+06,3.96614e+07
5.22521e+06,3.96572e+07
5.25651e+06,3.96531e+07
5.2878e+06,3.96489e+07
5.31909e+06,3.96448e+07
5.35037e+06,3.96406e+07
5.38166e+06,3.96363e+07
5.41294e+06,3.96321e+07
5.44421e+06,3.96278e+07
5.47548e+06,3.96235e+07
5.50675e+06,3.96191e+07
5.53802e+06,3.96148e+07
5.56928e+06,3.96104e+07
5.60054e+06,3.9606e+07
5.63179e+06,3.96016e+07
5.66304e+06,3.95971e+07
5.69429e+06,3.95926e+07
5.72553e+06,3.95881e+07
5.75677e+06,3.95836e+07
5.78801e+06,3.9579e+07
5.81924e+06,3.95744e+07
5.85047e+06,3.95698e+07
5.8817e+06,3.95652e+07
5.91292e+06,3.95606e+07
5.94414e+06,3.95559e+07
5.97536e+06,3.95512e+07
6.00657e+06,3.95464e+07
6.03778e+06,3.95417e+07
6.06898e+06,3.95369e+07
6.10018e+06,3.95321e+07
6.13138e+06,3.95273e+07
6.16257e+06,3.95224e+07
6.19376e+06,3.95176e+07
6.22494e+06,3.95127e+07
6.25612e+06,3.95077e+07
6.2873e+06,3.95028e+07
6.31847e+06,3.94978e+07
6.34964e+06,3.94928e+07
6.38081e+06,3.94878e+07
6.41197e+06,3.94827e+07
6.44313e+06,3.94777e+07
6.47428e+06,3.94726e+07
6.50543e+06,3.94674e+07
6.53657e+06,3.94623e+07
6.56771e+06,3.94571e+07
6.59885e+06,3.94519e+07
6.62998e+06,3.94467e+07
6.66111e+06,3.94415e+07
